품목보고번호,허가일자,LAST_UPDT_DTM,LCNS_NO,제품명,QLITY_MNTNC_TMLMT_DAYCNT,업소명,식품유형,CHILD_CRTFC_YN,INDUTY_CD_NM,DISPOS,포장재질,USAGE,ETQTY_XPORT_PRDLST_YN,유통기한,HIENG_LNTRT_DVS_NM,PRODUCTION,PRPOS
19730380010387 ,20191031,20230610,19730380010 ,침향 블랙브라운골드,제조일로부터 2년,(주)일화춘천공장,인삼.홍삼음료,,식품제조가공업,"이미, 이취가 없고 고유의 색택과 향미를 가진 암갈색 액상","내포장(폴리에틸렌), 외포장(지함)","제품 그대로 섭취(최종제품), 1일 1회 1포(70ml)를 섭취하십시오",O,제조일로부터 2년,해당없음,아니오,
19780614001437 ,20191022,20191024,19780614001 ,펩시콜라맥스시럽,,롯데칠성음료(주),음료베이스,,식품제조가공업,"고유의 색과 향미를 지니며, 이미 및 이취가 없는 액상제품","Bag외면 : Nylon, Bag 내면 및 Cap : PE",시럽과 탄산수를 희석하여 음용,O,제조일로부터 6개월,해당없음,아니오,
2002055419816 ,20191010,20251126,20020554198 ,숲속의사과즙,,풍기고려삼농업회사법인(주),과.채주스,,식품제조가공업,고유한 성상을 가지고 이미 이취가 없음,폴리에틸렌(내면),1일 2∼3회 1회 1포 직접섭취,N,제조일부터 2년,아니오,아니오,
19730380010389 ,20191001,20230610,19730380010 ,만소만강 녹용홍삼스틱 365,제조일부터     2 년,(주)일화춘천공장,인삼.홍삼음료,,식품제조가공업,고유의 향미가 있고 이미 이취가 없는 액상,내포장재질 PE,"1일 1회, 1회 1포 섭취 또는 수시로 섭취",O,제조일부터     2 년,해당없음,아니오,
20000467023103 ,20190925,20191106,20000467023 ,매스틱노니주스,,농업회사법인(주)참한삼,과.채주스,,식품제조가공업,약상형태로 원료 고유의 맛과 향을 유지하며 이미 이취가 없어야 한다.,"유리병, 캡 알미늄",일반 취식용 식품으로 수시로 음용한다.,N,2년,해당없음,아니오,
2001033207018 ,20190909,20190910,20010332070 ,오연수의 석류,제조일로부터 24개월,일상식품,과.채주스,,식품제조가공업,액상,폴리에틸렌 (내면),음용 1일 2~3회 1회1포,O,제조일로부터24개월,해당없음,아니오,
19990555093360 ,20190807,20190815,19990555093 ,프라임노니원액,,농업회사법인(주)이비채,과.채주스,,식품제조가공업,고유의 색택과 향미를 가지고 이미？  이취가 없어야 함.,유리병 또는 폴리에틸렌테레프탈레이트(PET),1회 복용시 50~100ml를 기호에 따라 믈/음료 또는 각종 음식에 첨가하여 섭취,O,제조일로부터 18 개월,해당없음,아니오,
19730380010380 ,20190806,20230610,19730380010 ,미모충전 석류콜라겐 스틱,제조일부터     2 년,(주)일화춘천공장,과.채주스,,식품제조가공업,고유의 향미가 있고 이미 이취가 없는 액상,내포장재질 PE,"1일 1회, 1회 1포 섭취 또는 수시로 복용",O,제조일부터     2 년,해당없음,아니오,
19730380010381 ,20190806,20230610,19730380010 ,지오스퀴즈팜 석류 100,제조일부터     2 년,(주)일화춘천공장,과.채주스,,식품제조가공업,고유의 향미가 있고 이미 이취가 없는 적자색의 액상,내포장재질 PP,"1일 2 ~ 3회 식전, 식후",O,제조일부터     2 년,해당없음,아니오,
20020623009921 ,20190801,20190808,20020623009 ,레드비트 NFC 착즙주스,,퓨어플러스(주),과.채주스,,식품제조가공업,"제품고유의 색택과 향미를 가지며, 이미, 이취가 없어야 한다.",PET,직접음용,N,제조일로부터 12개월,아니오,아니오,
19780368002593 ,20190724,20240831,19780368002 ,유기농사과&당근,,롯데칠성음료(주),과.채주스,Y,식품제조가공업,고유의 색택과 향미를 지닌 액상식품,종이팩,제품 그대로 음용한다.,N,제조일로부터 6개월,해당없음,아니오,
1980053801828 ,20190722,20200415,19800538018 ,남양 야채채움 녹황,,남양유업주식회사 경주공장,과.채주스,,식품제조가공업,"주황색을 띠고 과일야채 향미를 가진 액상으로서 이미, 이취가 없어야 한다.",카톤(종이팩)[내면:폴리에틸렌],용기를 오픈하여 직접 음용한다.,O,제조일로부터 18일,해당없음,아니오,
